File Name,Num Agents,Iterations,Time Limit,Replicate,List,Run,Result,Execution Time (s),Test Passed
3_8_inf_2.py,3,8,inf,2,2,1,95931,1.1755296997725964,True
3_8_inf_2.py,3,8,inf,2,2,2,95931,1.1075917002744973,True
3_inf_120_1.py,3,inf,120,1,1,1,95931,1.7368490998633206,True
3_inf_120_1.py,3,inf,120,1,1,2,95931,2.126681599766016,True
3_inf_120_1.py,3,inf,120,1,2,1,95931,1.8311525001190603,True
3_inf_120_1.py,3,inf,120,1,2,2,95931,1.7735775001347065,True
3_inf_120_2.py,3,inf,120,2,1,1,95931,1.2849899996072054,True
3_inf_120_2.py,3,inf,120,2,1,2,95931,1.2081443998031318,True
3_inf_120_2.py,3,inf,120,2,2,1,95931,1.2263551000505686,True
3_inf_120_2.py,3,inf,120,2,2,2,95931,1.2777269999496639,True
3_inf_60_1.py,3,inf,60,1,1,1,95931,2.259414399974048,True
3_inf_60_1.py,3,inf,60,1,1,2,95931,2.3371705999597907,True
3_inf_60_1.py,3,inf,60,1,2,1,95931,2.3374533001333475,True
3_inf_60_1.py,3,inf,60,1,2,2,95931,2.3674501003697515,True
3_inf_60_2.py,3,inf,60,2,1,1,95931,1.2679437999613583,True
3_inf_60_2.py,3,inf,60,2,1,2,95931,1.2459161998704076,True
3_inf_60_2.py,3,inf,60,2,2,1,95931,1.2187176998704672,True
3_inf_60_2.py,3,inf,60,2,2,2,95931,1.2453478001989424,True
